´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20050422,1.0663,
600439.SH,Èð±´¿¨,20050425,1.0648,
600439.SH,Èð±´¿¨,20050426,1.0471,
600439.SH,Èð±´¿¨,20050427,1.0375,
600439.SH,Èð±´¿¨,20050428,1.0471,
600439.SH,Èð±´¿¨,20050429,1.0227,
600439.SH,Èð±´¿¨,20050509,1.0176,
600439.SH,Èð±´¿¨,20050510,1.0021,
600439.SH,Èð±´¿¨,20050511,0.9881,
600439.SH,Èð±´¿¨,20050512,0.9711,
600439.SH,Èð±´¿¨,20050513,0.9947,
600439.SH,Èð±´¿¨,20050516,0.9881,
600439.SH,Èð±´¿¨,20050517,0.9851,
600439.SH,Èð±´¿¨,20050518,0.9858,
600439.SH,Èð±´¿¨,20050519,0.9799,
600439.SH,Èð±´¿¨,20050520,0.9741,
600439.SH,Èð±´¿¨,20050523,0.9692,
600439.SH,Èð±´¿¨,20050524,0.9829,
600439.SH,Èð±´¿¨,20050525,0.9663,
600439.SH,Èð±´¿¨,20050526,1.0403,
600439.SH,Èð±´¿¨,20050527,0.9936,
600439.SH,Èð±´¿¨,20050530,0.9936,
600439.SH,Èð±´¿¨,20050531,0.9994,
600439.SH,Èð±´¿¨,20050601,0.9848,
600439.SH,Èð±´¿¨,20050602,0.9507,
600439.SH,Èð±´¿¨,20050603,0.9361,
600439.SH,Èð±´¿¨,20050606,0.9478,
600439.SH,Èð±´¿¨,20050607,0.9468,
600439.SH,Èð±´¿¨,20050608,1.014,
600439.SH,Èð±´¿¨,20050609,0.9955,
600439.SH,Èð±´¿¨,20050610,0.9682,
600439.SH,Èð±´¿¨,20050613,0.9692,
600439.SH,Èð±´¿¨,20050614,0.9527,
600439.SH,Èð±´¿¨,20050615,0.9225,
600439.SH,Èð±´¿¨,20050616,0.9254,
600439.SH,Èð±´¿¨,20050617,0.8845,
600439.SH,Èð±´¿¨,20050620,0.9118,
600439.SH,Èð±´¿¨,20050621,0.8864,
600439.SH,Èð±´¿¨,20050622,0.9137,
600439.SH,Èð±´¿¨,20050623,0.8932,
600439.SH,Èð±´¿¨,20050624,0.8991,
600439.SH,Èð±´¿¨,20050627,0.9371,
600439.SH,Èð±´¿¨,20050628,0.9566,
600439.SH,Èð±´¿¨,20050629,0.9673,
600439.SH,Èð±´¿¨,20050630,0.94,
600439.SH,Èð±´¿¨,20050701,0.9595,
600439.SH,Èð±´¿¨,20050704,0.9644,
600439.SH,Èð±´¿¨,20050705,0.9556,
600439.SH,Èð±´¿¨,20050706,0.9449,
600439.SH,Èð±´¿¨,20050707,0.9449,
600439.SH,Èð±´¿¨,20050708,0.9351,
600439.SH,Èð±´¿¨,20050711,0.9351,
600439.SH,Èð±´¿¨,20050712,0.9507,
600439.SH,Èð±´¿¨,20050713,0.9429,
600439.SH,Èð±´¿¨,20050714,0.9332,
600439.SH,Èð±´¿¨,20050715,0.9147,
600439.SH,Èð±´¿¨,20050718,0.8669,
600439.SH,Èð±´¿¨,20050719,0.8728,
600439.SH,Èð±´¿¨,20050720,0.8835,
600439.SH,Èð±´¿¨,20050721,0.8796,
600439.SH,Èð±´¿¨,20050722,0.827,
600439.SH,Èð±´¿¨,20050725,0.7958,
600439.SH,Èð±´¿¨,20050726,0.8114,
