旗鷹,酒各,晩豚,辺徒勺(圷),
002517.SZ,磊哂利大,20130327,4.1661,
002517.SZ,磊哂利大,20130328,3.9473,
002517.SZ,磊哂利大,20130329,3.9523,
002517.SZ,磊哂利大,20130401,3.9871,
002517.SZ,磊哂利大,20130402,3.9026,
002517.SZ,磊哂利大,20130403,3.7982,
002517.SZ,磊哂利大,20130408,3.8131,
002517.SZ,磊哂利大,20130409,4.0418,
002517.SZ,磊哂利大,20130410,4.0269,
002517.SZ,磊哂利大,20130411,3.9374,
002517.SZ,磊哂利大,20130412,3.838,
002517.SZ,磊哂利大,20130415,3.7584,
002517.SZ,磊哂利大,20130416,3.8032,
002517.SZ,磊哂利大,20130417,3.8181,
002517.SZ,磊哂利大,20130418,3.823,
002517.SZ,磊哂利大,20130419,3.8777,
002517.SZ,磊哂利大,20130422,3.7882,
002517.SZ,磊哂利大,20130423,3.7236,
002517.SZ,磊哂利大,20130424,3.7634,
