ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
603003.SH,БъУоИјУН,20141105,14.4742,
603003.SH,БъУоИјУН,20141106,14.674,
603003.SH,БъУоИјУН,20141107,14.1146,
603003.SH,БъУоИјУН,20141110,14.3943,
603003.SH,БъУоИјУН,20141111,14.7239,
603003.SH,БъУоИјУН,20141112,15.2633,
603003.SH,БъУоИјУН,20141113,14.8538,
603003.SH,БъУоИјУН,20141114,14.2544,
603003.SH,БъУоИјУН,20141117,14.664,
603003.SH,БъУоИјУН,20141118,14.7839,
603003.SH,БъУоИјУН,20141119,14.9836,
603003.SH,БъУоИјУН,20141120,15.1934,
603003.SH,БъУоИјУН,20141121,15.2134,
603003.SH,БъУоИјУН,20141124,15.3732,
603003.SH,БъУоИјУН,20141125,15.5031,
603003.SH,БъУоИјУН,20141126,17.0514,
603003.SH,БъУоИјУН,20141127,17.2112,
603003.SH,БъУоИјУН,20141128,16.8716,
603003.SH,БъУоИјУН,20141201,17.0813,
